batch_size,mean_step_time_s,speedup_vs_pppm,pressure_variance,variance_ratio_vs_pppm,is_pareto,is_recommended,utopia_score
50,0.01405681,0.273500,8.12634452e-04,2.16940069,1,0,0.57735027
100,0.02343720,0.164036,4.89810718e-04,1.30759372,1,1,0.19967972
200,0.04171894,0.092153,3.85974206e-04,1.03039282,1,0,0.31309428
400,0.08674565,0.044320,3.55517031e-04,0.94908466,1,0,0.81649658
