step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale,diag_rbsog_total_time,diag_rbsog_short_range_time,diag_rbsog_proposal_time,diag_rbsog_sampling_time,diag_rbsog_filter_time,diag_rbsog_long_range_time,diag_rbsog_requested_samples,diag_rbsog_accepted_samples,diag_rbsog_acceptance_ratio,diag_rbsog_short_range_jit_enabled,diag_rbsog_long_range_jit_enabled,diag_neighbor_total_time,diag_neighbor_pair_build_time,diag_neighbor_short_range_time,diag_neighbor_pair_count,diag_neighbor_jit_enabled
1.0,0.002,0.019692565998411737,0.999556300145134,0.14100125857316104,958.0714217520457,394.6604071045125,1352.7318288565582,15.999972512040275,15.999972512040275,19.999965640050345,3.9999862560319435,6.39024748372384,0.9999982820025172,0.019428407998930197,0.00014241100143408403,1.4109002222539857e-05,0.007596086001285585,0.003282290999777615,0.006595872997422703,64000.0,63678.0,0.99496875,1.0,1.0,0.00013487799878930673,0.00010340799781261012,2.7768001018557698e-05,619.0,1.0
10.0,0.02,0.02032711100036977,0.9995379639935376,0.13787038407607086,958.0538346129229,356.41054575938057,1314.4643803723034,15.999724763510851,15.999724763510851,19.99965595438857,3.9998623829391,6.384423054219273,0.9999982757407682,0.020070967999345157,0.00014915000065229833,1.1593001545406878e-05,0.00798748300076113,0.003664209998532897,0.0067848869985027704,64000.0,63711.0,0.995484375,1.0,1.0,0.00014405500041902997,0.00011405300028854981,2.7825997676700354e-05,620.0,1.0
20.0,0.04,0.0208364479985903,0.9998831503785803,0.14098194447009837,958.3847065503146,393.5535584532622,1351.9382650035768,15.999450040459493,15.999450040459493,19.999312550574377,3.9997250249556138,6.379378610221808,0.999998281963889,0.020598137998604216,0.00012060100198141299,9.480998414801434e-06,0.008398565998504637,0.0032279789993481245,0.007221628999104723,64000.0,63720.0,0.995625,1.0,1.0,0.00011440800153650343,8.356099715456367e-05,2.899699757108465e-05,616.0,1.0
30.0,0.06,0.020901207000861177,1.0013052890929313,0.1414072387613027,959.7478234569493,396.2162093683302,1355.9640328252794,15.999175178015678,15.999175178015678,19.998968972519606,3.9995875996380157,6.375832270647014,0.9999982828144776,0.020633266001823358,0.00012720000086119398,9.925999620463699e-06,0.008611850997112924,0.0031544660014333203,0.0074309150004410185,64000.0,63706.0,0.99540625,1.0,1.0,0.00012110800162190571,8.981399878393859e-05,2.952399881905876e-05,611.0,1.0
40.0,0.08,0.0205325589995482,1.0012009014340344,0.14259288356545652,959.6477727807377,406.91535494051516,1366.5631277212528,15.998900827124952,15.998900827124952,19.9986260339062,3.9994504324403044,6.373770967235478,0.9999982851857672,0.020265884999389527,0.00015147199883358553,1.0875002772081643e-05,0.008614441001554951,0.0030634889990324154,0.006916507001733407,64000.0,63703.0,0.995359375,1.0,1.0,0.00014508599997498095,0.00011279499813099392,2.9842998628737405e-05,607.0,1.0
50.0,0.1,0.023073113999998895,1.0016517542097512,0.1415014376142927,960.0799094926668,392.2839434645364,1352.363852957203,15.998626060692539,15.998626060692539,19.998282575865687,3.999313059841726,6.3731976145903,0.9999982830028752,0.022829123998235445,0.0001221450002049096,9.47599983192049e-06,0.009574196999892592,0.0037892110012762714,0.007825882999895839,64000.0,63697.0,0.995265625,1.0,1.0,0.00011598199853324331,8.46799994178582e-05,2.9646998882526532e-05,592.0,1.0
60.0,0.12,0.020903955002722796,1.002800432241814,0.14051918535607458,961.180909829053,382.11060672388703,1343.29151655294,15.998351440352046,15.998351440352046,19.99793930044007,3.9991757626408497,6.374113076448255,0.9999982810383707,0.020648271001846297,0.00013116600166540593,1.12490015453659e-05,0.008567753997340333,0.0032253749996016268,0.007298233998881187,64000.0,63715.0,0.995546875,1.0,1.0,0.0001247040017915424,9.36760006879922e-05,2.8979000489925966e-05,592.0,1.0
70.0,0.14,0.01931070199862006,1.0043319345733441,0.14187998908328706,962.6488550070601,399.0896224983169,1361.738477505377,15.998076716194864,15.998076716194864,19.997595895243588,3.999038415894629,6.376516388330138,0.9999982837599781,0.019072553001024062,0.00011384699973859824,9.463998139835894e-06,0.007798077000188641,0.003081877999647986,0.006629917999816826,64000.0,63713.0,0.995515625,1.0,1.0,0.00010804400153574534,8.191899905796163e-05,2.4277000193251297e-05,595.0,1.0
80.0,0.16,0.024876177001715405,1.0061659535126428,0.14140652878697516,964.4067542999655,391.05841296798764,1355.4651672679531,15.997801968668789,15.997801968668789,19.997252460836,3.998901059824109,6.380415764370621,0.9999982828130576,0.02457692800089717,0.00012179099940112792,9.559000318404287e-06,0.009401493000041228,0.003664996998850256,0.009723106999445008,64000.0,63678.0,0.99496875,1.0,1.0,0.00011580399950616993,8.587899719714187e-05,2.792899977066554e-05,602.0,1.0
90.0,0.18,0.019601708998379763,1.0080651935210054,0.14298935860558967,966.2271757134812,401.9445261746102,1368.1717018880913,15.997527465106966,15.997527465106966,19.996909331383716,3.998763828075808,6.385806149233321,0.9999982859787172,0.019369286001165165,0.0001452409997000359,9.90799890132621e-06,0.0079866240012052,0.003110976998868864,0.0066730400030792225,64000.0,63679.0,0.994984375,1.0,1.0,0.00013819900050293654,0.00010952999946312048,2.6480000087758526e-05,600.0,1.0
100.0,0.2,0.01985965399944689,1.0100758536539973,0.14215914003226363,968.1543836292507,402.0073113781914,1370.1616950074422,15.997253293224993,15.997253293224993,19.99656661653124,3.998626764493717,6.392683547863143,0.9999982843182801,0.019620785002189223,0.0001170879986602813,9.882998710963875e-06,0.007950893999804975,0.003244501000153832,0.006902486002218211,64000.0,63690.0,0.99515625,1.0,1.0,0.00011137399997096509,8.306800009449944e-05,2.6598998374538496e-05,606.0,1.0
