step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,3.999985022727678,6.398928646550682,0.06391960366181113,0.9753111975093254
10.0,0.02,3.9998505268966036,6.392205130546916,0.06376082445900423,0.9770215532840795
20.0,0.04,3.999700919328895,6.384297978656391,0.06976438143769416,0.9792279595423236
30.0,0.06,3.9995519428232056,6.375921680787898,0.06898746150144357,0.9813637474137789
40.0,0.08,3.9994020443158287,6.367047839866198,0.06087049603303691,0.9836438141501452
50.0,0.1,3.999251352850112,6.357651939916995,0.05915418936098898,0.9859640878590397
60.0,0.12,3.999101943510703,6.347740372081977,0.06991434580259098,0.9883640402402256
70.0,0.14,3.9989526270165157,6.337320806215972,0.068459059099347,0.9907060067254323
80.0,0.16,3.9988040971072185,6.326408325633704,0.07741680925687186,0.9929789611448304
90.0,0.18,3.998656599525488,6.315011362593423,0.07815476398506002,0.995164936427448
100.0,0.2,3.998509213980104,6.303122380697847,0.07819496375990531,0.9971000247030791
110.0,0.22,3.998362263628502,6.290754387755902,0.08707564687571738,0.9989200879058214
120.0,0.24,3.998216216375769,6.277929177665918,0.08599404783547775,1.0004493847713436
130.0,0.26,3.9980700937751497,6.264652817170833,0.08717153803966597,1.0020583637097704
140.0,0.28,3.997924094858812,6.250927350465544,0.08675216170763701,1.0037737618952032
150.0,0.3,3.997778499438171,6.236752092802265,0.09503264231450886,1.0054485630568686
160.0,0.32,3.997633842803813,6.222122959211453,0.09622192130695802,1.0065756516530093
170.0,0.34,3.9974893834565894,6.20703816207532,0.09902745454185964,1.0077237011550977
180.0,0.36,3.9973456013492967,6.191487049206605,0.1007428768108832,1.0086980379182313
190.0,0.38,3.9972018406596286,6.175465899170469,0.1012699642186509,1.0097612068235406
200.0,0.4,3.9970583752646607,6.158970458738583,0.10289680189124739,1.010941482629138
210.0,0.42,3.9969150374176974,6.141998879139546,0.10322858535263107,1.012220575967459
220.0,0.44,3.9967716011105368,6.124547729839504,0.10144447053661097,1.0134702872764432
230.0,0.46,3.996628310367502,6.106612033264971,0.10414298228466375,1.0144887979012494
240.0,0.48,3.9964854112094077,6.088195089713212,0.107394646679262,1.0151814784605862
250.0,0.5,3.9963430230198376,6.069299008612749,0.10950898293946862,1.0159840766922332
260.0,0.52,3.9962006963115875,6.049921446643898,0.11069703539635123,1.016856997489496
270.0,0.54,3.996058558256219,6.030059746779118,0.1106505397343154,1.0178283161022204
280.0,0.56,3.9959163997122467,6.009714939897437,0.11081065677446418,1.0187721326135064
290.0,0.58,3.995774171158607,5.988881620812275,0.10738835611638115,1.0197554806371796
300.0,0.6,3.995631418061506,5.967556885564382,0.10684947988272518,1.0206316490817986
310.0,0.62,3.9954886093700677,5.945741282456868,0.10645009041057388,1.0214172047678653
320.0,0.64,3.9953456919451895,5.923431675639748,0.10498895236627893,1.0223104028695638
330.0,0.66,3.99520272473026,5.900635956363381,0.10559094985418817,1.0233818395038567
340.0,0.68,3.995059801123752,5.8773423059128325,0.1050025256781173,1.0246410695215074
350.0,0.7000000000000001,3.9949169144173577,5.8535426745874,0.10683027493927368,1.02624679385984
360.0,0.72,3.994774322247069,5.829239314220047,0.10813957104014785,1.0280547532238342
370.0,0.74,3.99463234875304,5.804430289461692,0.11452586899726287,1.0295475995053203
380.0,0.76,3.994490708759617,5.779120029160815,0.11290926419908229,1.03066611185039
390.0,0.78,3.9943492669531078,5.753317769290014,0.11547812412995734,1.0316461973068534
400.0,0.8,3.9942078276947157,5.7270434168462465,0.1141041845515107,1.0325504110217747
410.0,0.8200000000000001,3.9940665778798246,5.700293048101968,0.11623192522955056,1.0337206508503496
420.0,0.84,3.9939255714289863,5.673042117084524,0.11843101481060302,1.034931334915701
430.0,0.86,3.9937847536506292,5.645287686934335,0.11901309219960694,1.0362462717476875
440.0,0.88,3.9936440114720213,5.617025348378376,0.11918891791308141,1.0373277468996815
450.0,0.9,3.993503331898909,5.588254890206819,0.11950517031102723,1.0383270528388573
460.0,0.92,3.993362788359919,5.558979142088843,0.12010886950634589,1.039330263501665
470.0,0.9400000000000001,3.993222224992161,5.5292012098045635,0.11932808484496703,1.0404691888112843
480.0,0.96,3.9930813642916525,5.498917588776312,0.11796208423942604,1.0415539684086887
490.0,0.98,3.992940561653301,5.468118505252649,0.11882277213966012,1.0427229035051875
500.0,1.0,3.9927999265622662,5.436791466318011,0.11985389133379971,1.0439508121152323
