step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale
1.0,0.002,0.005090040998766199,1.0413454923285828,0.14343435367868912,998.1262345455857,341.3838924526786,1339.5101269982642,15.999972589899318,15.999972589899318,19.999965737374147,3.9999862949613982,6.417804719400766,0.9999982868687074
10.0,0.02,0.0050789579981938004,1.0376410060851133,0.1477652256025714,994.5755138765578,401.35850589307177,1395.9340197696297,15.999726268781565,15.999726268781565,19.999657835976954,3.9998631355615446,6.417576178390295,0.9999982955304512
20.0,0.04,0.005164541013073176,1.0342751658353093,0.14099482981759728,991.3493401475314,323.4704927002091,1314.8198328477406,15.99945226877779,15.99945226877779,19.999315335972238,3.999726139076543,6.418759764659164,0.9999982819896597
30.0,0.06,0.005038625007728115,1.0317008511283285,0.14253536759602767,988.8818740728475,340.05219979612525,1328.9340738689727,15.999178319598398,15.999178319598398,19.998972899497993,3.9995891703485533,6.421456315210606,0.9999982850707352
40.0,0.08,0.005095500004244968,1.0297056591823117,0.13980004102663374,986.969478353063,307.5286691513967,1294.4981475044597,15.998904273622545,15.998904273622545,19.99863034202818,3.9994521555709017,6.425658323652284,0.999998279600082
50.0,0.1,0.005079249996924773,1.0281194877363302,0.14365378972681914,985.4491534440089,367.32545046629616,1352.774603910305,15.998630489560393,15.998630489560393,19.99828811195049,3.999315274085803,6.431359926214686,0.9999982873075794
60.0,0.12,0.005045792000601068,1.0271143089282178,0.14145060632622525,984.4856841806396,338.3403343728071,1322.8260185534468,15.99835635527001,15.99835635527001,19.99794544408751,3.999178219847005,6.43855335264128,0.9999982829012126
70.0,0.14,0.005028832994867116,1.0266420227216946,0.14422481022362632,984.0330103259516,371.9454807569142,1355.9784910828657,15.998082404563203,15.998082404563203,19.997603005703997,3.999041259737418,6.447218926832946,0.9999982884496205
80.0,0.16,0.005040083982748911,1.0268327154445371,0.14327236815718883,984.2157849254854,365.2944309668394,1349.5102158923248,15.997808353935769,15.997808353935769,19.997260442419698,3.9989042520196416,6.457369104180573,0.9999982865447363
90.0,0.18,0.005187625007238239,1.0277726313685351,0.14258569601150886,985.1166885454909,345.2954313175639,1330.4121198630548,15.997534323356676,15.997534323356676,19.996917904195833,3.9987672566714836,6.469001487112044,0.999998285171392
100.0,0.2,0.005052709020674229,1.0296645321655733,0.14524540099465383,986.9300797399511,382.4435626429658,1369.3736423829168,15.997260297572762,15.997260297572762,19.996575371965935,3.9986302660671527,6.482102641580146,0.999998290490802
110.0,0.22,0.005387916986364871,1.0326806856468287,0.14443358688505728,989.8210497532102,364.8529229185676,1354.6739726717778,15.996986558330653,15.996986558330653,19.996233197913305,3.998493421053306,6.496672052977345,0.9999982888671738
