batch_size,mean_step_time,pressure_variance,speedup_vs_pppm,variance_ratio_vs_pppm,is_pareto,utopia_score,recommended
50.0,0.009519291668160196,6.150742897276585e-06,0.37809446333832786,0.02247841133181165,1.0,0.0,1.0
100.0,0.016565328427878695,6.767972254278305e-06,0.21727256965076344,0.024734128341036263,0.0,0.8204685910148218,0.0
200.0,0.03253654264249019,6.961581741301175e-06,0.1106199731846672,0.02544169062411724,0.0,1.4142126902755063,0.0
