step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale
1.0,0.002,0.0018237500044051558,1.0495290584034729,-0.021370564748878672,401.44322474513024,626.1721348719755,1027.6153596171057,15.999967316141928,15.999967316141928,19.99995914517741,3.9999836580876553,6.3905901549229815,0.9999979572588705
5.0,0.01,0.001823250000597909,1.0484161051892456,-0.028151972752950456,401.0175110020193,626.8097174180785,1027.827228420098,15.999835729319159,15.999835729319159,19.99979466164895,3.9999178650812177,6.389028346029847,0.9999979436960545
10.0,0.02,0.001789125002687797,1.0474024374446609,-0.026521752390025143,400.6297872967516,626.8634254444015,1027.493212741153,15.999671277829451,15.999671277829451,19.999589097286815,3.999835640603136,6.386980931842211,0.9999979469564952
15.0,0.03,0.0017324159853160381,1.0467609057479281,-0.026578594312196002,400.38440233929134,626.311764399919,1026.6961667392102,15.999507032654389,15.999507032654389,19.99938379081799,3.999753520124332,6.384826929800296,0.9999979468428114
20.0,0.04,0.0017429169965907931,1.046497847923753,-0.02205481216542789,400.28379037792115,624.5381052466607,1024.8218956245819,15.999343105521982,15.999343105521982,19.99917888190248,3.9996715595033403,6.382566877911323,0.9999979558903757
