step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale
1.0,0.002,0.021154749993002042,1.0412992494874638,0.14429195273460096,998.0819143580604,351.9933236674359,1350.0752380254962,15.999972617342488,15.999972617342488,19.99996577167811,3.99998630868296,6.417805098203473,0.9999982885839055
10.0,0.02,0.02149558300152421,1.0377896664472357,0.1449733431632072,994.7179932393481,367.09134524155814,1361.8093384809063,15.999726109826657,15.999726109826657,19.99965763728332,3.999863056085451,6.417580611313895,0.9999982899466864
20.0,0.04,0.02253637500689365,1.0343981561410722,0.1458186600179005,991.4672450812569,380.4699436732419,1371.937188754499,15.99945218270134,15.99945218270134,19.99931522837667,3.999726096039792,6.418769722290004,0.99999829163732
30.0,0.06,0.022265833016717806,1.0316498591778662,0.14394847065422323,988.8330040452674,362.7845357769707,1351.617539822238,15.999178221727373,15.999178221727373,19.998972777159207,3.9995891214155543,6.421462631660262,0.9999982878969413
40.0,0.08,0.022128583019366488,1.0296273964991949,0.14604201328842065,986.89448847012,394.6769842229388,1381.5714726930587,15.998904324375903,15.998904324375903,19.998630405469868,3.9994521809458434,6.425656908850563,0.9999982920840266
50.0,0.1,0.022799915983341634,1.0280630073157169,0.14240567924333794,985.3950122267531,349.06123028722976,1334.456242513983,15.99863034713942,15.99863034713942,19.998287933924264,3.9993152028814123,6.431347763598632,0.9999982848113584
60.0,0.12,0.021883166016777977,1.0272271025249695,0.14380225297167076,984.593805733529,373.2338182759421,1357.827624009471,15.998356184379546,15.998356184379546,19.99794523047442,3.999178134410551,6.43853402343244,0.9999982876045059
70.0,0.14,0.02337916599935852,1.0267686265979126,0.14445658191600694,984.1543606383123,371.5914261393722,1355.7457867776843,15.998082180375555,15.998082180375555,19.99760272546943,3.999041147657029,6.447194066054567,0.9999982889131638
80.0,0.16,0.023256750020664185,1.0268761936743225,0.1442314729239292,984.2574624419526,372.9853026890573,1357.24276513101,15.997808080839635,15.997808080839635,19.997260101049537,3.99890411549028,6.457329361391395,0.9999982884629458
90.0,0.18,0.02252425000187941,1.0278122833982897,0.14559440145458866,985.154706741843,398.6280795239751,1383.7827862658182,15.997533982724821,15.997533982724821,19.99691747840603,3.9987670863818043,6.4689305954281755,0.9999982911888029
100.0,0.2,0.023186499980511144,1.0293809083825172,0.14370592884445194,986.6582211976211,371.687096638145,1358.345317835766,15.997259931108793,15.997259931108793,19.996574913885997,3.9986300828665455,6.481995625470628,0.9999982874118577
110.0,0.22,0.021259041997836903,1.032455369057619,0.1454081381884898,989.6050883992349,385.70049620218015,1375.305584601415,15.996986043590423,15.996986043590423,19.996232554488042,3.9984931637316685,6.496516649423381,0.9999982908162763
120.0,0.24,0.020880958007182926,1.0405034973891736,0.14722837544770948,997.3192002967612,391.6620001094184,1388.9812004061796,15.996712757588169,15.996712757588169,19.995890946985213,3.9983565476372513,6.5124890142479455,0.9999982944567509
130.0,0.26,0.020620708004571497,1.0456096606070762,0.14780025188419146,1002.2134433389724,399.40727768786496,1401.6207210268374,15.996440105008013,15.996440105008013,19.99555013126002,3.9982202505173245,6.529905383560511,0.9999982956005038
140.0,0.28,0.021659124991856515,1.0401117429926447,0.1462110697968841,996.9437009317455,390.5658615426256,1387.5095624743713,15.996167329350781,15.996167329350781,19.995209161688482,3.9980838941967076,6.548754149763286,0.9999982924221396
150.0,0.3,0.021821333008119836,1.0348430991552489,0.14583495109571246,991.893721567825,387.50702003658455,1379.4007416044096,15.995894107074564,15.995894107074564,19.99486763384321,3.9979473169491055,6.569033909864668,0.9999982916699022
160.0,0.32,0.024843999999575317,1.0346139980021083,0.14521520164846405,991.6741264044533,384.6772159993089,1376.3513424037621,15.99562065977959,15.99562065977959,19.994525824724494,3.9978106295557443,6.590751073826061,0.9999982904304033
170.0,0.34,0.022664290998363867,1.036913172610639,0.14553590721424922,993.877879006749,384.3184112721074,1378.1962902788564,15.99534724955782,15.99534724955782,19.994184061947287,3.9976739630302647,6.613905577815176,0.9999982910718145
180.0,0.36,0.021815917018102482,1.0413878278611246,0.14811533586288309,998.1668317041305,419.3178524018426,1417.484684105973,15.995074155294056,15.995074155294056,19.993842694117582,3.997537456771185,6.638493603677105,0.9999982962306717
190.0,0.38,0.021544624993111938,1.0511353216974562,0.14803460880322425,1007.5097723844069,400.6938293444844,1408.2036017288913,15.994801284141854,15.994801284141854,19.99350160517733,3.9974010643622795,6.6645081524192165,0.9999982960692176
200.0,0.4,0.021289083000738174,1.0583606706544093,0.1482825294727095,1014.4352467645308,400.61897406840836,1415.054220832939,15.994529092372622,15.994529092372622,19.993161365465795,3.9972650138555337,6.691927240960755,0.9999982965650589
210.0,0.42,0.022216457989998162,1.0642933746075876,0.1494036010562184,1020.1217287050401,400.2309532445239,1420.3526819495642,15.994257855012405,15.994257855012405,19.992822318765523,3.9971294426972817,6.720736983687388,0.9999982988072021
220.0,0.44,0.023612707998836413,1.058677515651527,0.14815653575942317,1014.7389411482127,392.2200948979387,1406.9590360461514,15.993985671599162,15.993985671599162,19.992482089498964,3.996993400989364,6.750924162931998,0.9999982963130715
230.0,0.46,0.02472516699344851,1.0575015701889816,0.148482449988887,1013.6118025843643,397.8946962435468,1411.5064988279112,15.993713287081802,15.993713287081802,19.992141608852265,3.996857261084015,6.782493918522534,0.9999982969649
