step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,5.039666588751335,5.078853561816117,0.12639151357790374,0.9373408079619344
20.0,0.04,5.039332100230824,5.079293782387451,0.12786882095673188,0.9497543284126815
40.0,0.08,5.038980589717329,5.084719598726454,0.12675661551353481,0.9617601034996737
60.0,0.12,5.038629799446454,5.095422983603857,0.1313474351022986,0.9718898333230794
80.0,0.16,5.038279573717597,5.111457248278928,0.13018258552007023,0.9812765328937992
100.0,0.2,5.037929861087076,5.132844701804275,0.13308897631500852,0.9906357995982474
120.0,0.24,5.037580901879905,5.15953615231696,0.13628530973153272,1.0016681894367905
140.0,0.28,5.037232797848018,5.1915689700644485,0.13572335922115203,1.0216454229224585
160.0,0.32,5.036885942428337,5.228958985291156,0.13544277573895747,1.018621269746257
180.0,0.36,5.036538363967809,5.271717285792883,0.1379354428777151,1.0187650209174746
200.0,0.4,5.036191243865599,5.31982869762895,0.13904929763762713,1.0222092658588449
220.0,0.44,5.035844342924799,5.373278718251122,0.14028388657273116,1.0271586580249499
240.0,0.48,5.03549774304944,5.431988493768483,0.14066835209288922,1.0338134887089823
260.0,0.52,5.0351519139958425,5.495937921672947,0.14292006579630373,1.041147047826947
280.0,0.56,5.034806360725859,5.565008597220502,0.14314034083572008,1.0451840386524813
300.0,0.6,5.034461172991697,5.639129609897461,0.14389913909029434,1.0483654054225857
320.0,0.64,5.03411613975563,5.718212379324948,0.14242456512064616,1.0528392441915784
340.0,0.68,5.033771678439755,5.802211929770664,0.1453695566832072,1.0587046517451868
360.0,0.72,5.033427666761134,5.891174475906011,0.1490830167506116,1.0645739542954011
380.0,0.76,5.033083882377393,5.985098482823608,0.14730078358187917,1.070526124201331
400.0,0.8,5.032740774354551,6.084051025222995,0.15090432430769687,1.0770954863575661
