step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,3.9999847596436653,6.390236605324359,0.04747682179521969,0.9995735802602022
10.0,0.02,3.9998479674011156,6.383446295545308,0.04980440943691194,0.999925669955141
20.0,0.04,3.9996967057870654,6.375502651527707,0.05431984581135908,1.0001911160259904
30.0,0.06,3.999545851962655,6.367127868279827,0.06227353084567499,1.0004232838686105
40.0,0.08,3.9993963806934913,6.358317074317537,0.06684777561365035,1.0007249058694148
50.0,0.1,3.99924706646566,6.349054685588942,0.06999639047218664,1.0014888455846673
60.0,0.12,3.99909944936247,6.3393340451918,0.07941366629255049,1.0025458837298766
70.0,0.14,3.998952757059559,6.329155915051048,0.08859380914793348,1.0038067851003696
80.0,0.16,3.9988072314682994,6.318520892459513,0.09139909366310943,1.004800823066603
90.0,0.18,3.9986619612731356,6.307425737575143,0.09206262928870815,1.0057554505489337
100.0,0.2,3.998516820229697,6.295879038225939,0.093528490909538,1.0067148254787888
110.0,0.22,3.9983719413192818,6.283890960409261,0.0972047270636108,1.0077023287421012
120.0,0.24,3.998227411146005,6.271469744196681,0.09693626390257339,1.0086957349124883
130.0,0.26,3.998083463911047,6.25862708950468,0.1002531714123936,1.0093697367435361
140.0,0.28,3.9979395477597284,6.245366277218502,0.10049353465840088,1.0100594598533827
150.0,0.3,3.997795638686147,6.231696176105731,0.09992615707479659,1.0105694381976575
160.0,0.32,3.9976517271388308,6.217610335309972,0.10055613287940045,1.010912941957653
170.0,0.34,3.9975080824746647,6.203096376832611,0.10210454290229432,1.0106288857609442
180.0,0.36,3.9973644700858557,6.188137449451932,0.1030245170037711,1.0100686405620845
190.0,0.38,3.997221116290467,6.172719634091196,0.10319875246451572,1.010185496327097
200.0,0.4,3.9970775624653223,6.156840502912768,0.10052612185947613,1.0107856447314385
