step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,3.9999862461799105,6.390247334384075,0.14038550546912115,0.9995376515378955
10.0,0.02,3.999862500200842,6.384414698956817,0.14094284577503918,0.9995507551536433
20.0,0.04,3.9997250889610574,6.379347964126751,0.14176080768809696,0.9998023539822499
30.0,0.06,3.999587582395682,6.375779040525883,0.14254605648712226,1.0011005847352197
40.0,0.08,3.9994501920821093,6.373712758918483,0.14060432171332374,1.001001343794743
50.0,0.1,3.9993128230913437,6.373138645804055,0.1407033287219178,1.0014953246064686
60.0,0.12,3.9991755017942237,6.374049578043449,0.1414943216248768,1.0026016570214815
70.0,0.14,3.999038171920282,6.376449179954854,0.14248672814119737,1.0040414110300542
80.0,0.16,3.9989009248945346,6.380336418888606,0.1429095399854468,1.0057439320743853
90.0,0.18,3.998763672247308,6.385704390233076,0.1426674385453156,1.0077800013950402
100.0,0.2,3.9986266748663892,6.3925524511888385,0.14402283207051778,1.010049505683763
110.0,0.22,3.9984894441443655,6.400873373596257,0.14254113954846506,1.0124818334335017
120.0,0.24,3.998352440686533,6.4106607091963435,0.140432973265963,1.0146505533893968
130.0,0.26,3.9982154783534454,6.421923217621387,0.1454411330447944,1.01667474528393
140.0,0.28,3.9980785735067657,6.434710495574642,0.14436819929421654,1.0188288441703808
150.0,0.3,3.9979417907689934,6.4490619864996255,0.1447128518263534,1.0217118827216989
160.0,0.32,3.997805088473616,6.465049496245449,0.14364825034444834,1.0245414073312304
170.0,0.34,3.9976684936984546,6.4827053003767166,0.14685460913361562,1.0263102227304752
180.0,0.36,3.997532011221708,6.501938460140021,0.14736170859055153,1.0311600972820494
190.0,0.38,3.9973955811287807,6.522011621365362,0.14484691552314452,1.0310114650456514
200.0,0.4,3.997259043533378,6.54321578594595,0.1464996216486194,1.0327073278276215
210.0,0.42,3.9971227359873884,6.565874356256061,0.14840573146981387,1.0368694308322717
220.0,0.44,3.9969865564200266,6.5899597222395165,0.14901035675688154,1.0430971389247772
230.0,0.46,3.996850590594386,6.6154414005291144,0.15160718412404237,1.0483931748555804
240.0,0.48,3.996714626725712,6.642318350955957,0.15083875203440697,1.0494509890265602
250.0,0.5,3.9965788505613005,6.670577848844561,0.15148742739477775,1.0553528613639245
260.0,0.52,3.9964432552378724,6.700189888022069,0.15187256287315343,1.0579317886129747
270.0,0.54,3.9963076753889863,6.731169217458628,0.15338522796829535,1.057790203344277
280.0,0.56,3.99617213676362,6.763507514489343,0.15117742926966166,1.062807995738611
290.0,0.58,3.99603708592445,6.7971896077650324,0.16005782867677457,1.0897124419291153
300.0,0.6,3.995902298534738,6.832168654465516,0.15741019306916393,1.075702717325447
310.0,0.62,3.9957672707469056,6.8684451239933635,0.15211357506001988,1.0751353520711444
320.0,0.64,3.9956323044210134,6.906021704371575,0.15563114913132026,1.0697903585017257
330.0,0.66,3.9954972932879205,6.944915776286162,0.15310432130662574,1.0715835813946024
340.0,0.68,3.995362438586447,6.985123730873437,0.1583166376747163,1.0767289922029908
350.0,0.7000000000000001,3.995227732312738,7.026616798953162,0.1601741981503645,1.094790537959996
360.0,0.72,3.995093246567049,7.069373707186374,0.15767454822196933,1.0799028597719955
370.0,0.74,3.9949585754807986,7.113402650823483,0.15888488310274138,1.0782663694348578
380.0,0.76,3.9948237109231024,7.158709693748612,0.15592061039420493,1.0834215676798569
390.0,0.78,3.994689157080459,7.205304361163943,0.15804663235712893,1.0926775628182368
400.0,0.8,3.9945547709499984,7.253181624171701,0.15757442658588142,1.0904063673547104
