step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale,diag_pppm_total_time,diag_pppm_charge_deposition_time,diag_pppm_fft_solve_time,diag_pppm_field_interp_time,diag_pppm_grid_points
1.0,0.002,0.0007322519995796029,0.9995455505933473,0.03228653697386445,958.0607017199992,493.19695625700547,1451.2576579770048,15.999969033169183,15.999969033169183,19.999961291461478,3.999984516599575,6.390235830863226,0.9999980645730739,0.0005693460007023532,5.059899922343902e-05,0.00044810199688072316,5.927299935137853e-05,4096.0
10.0,0.02,0.0005089619990030769,0.9996600419711986,0.032478479999775205,958.1704420165406,493.2439173423985,1451.4143593589392,15.999690533348526,15.999690533348526,19.999613166685663,3.999845268170663,6.383386188214875,0.99999806495696,0.00041313099791295826,3.57409990101587e-05,0.00033435499790357426,3.9604001358384266e-05,4096.0
20.0,0.04,0.0005666180004482158,0.9999357998035285,0.032707077500890164,958.4347557522972,493.7508747749275,1452.1856305272247,15.999380781621987,15.999380781621987,19.999225977027486,3.999690396802109,6.375260225850127,0.999998065414155,0.0004603989982570056,4.478700066101737e-05,0.00036737400296260603,4.4581000111065805e-05,4096.0
30.0,0.06,0.0005513739997695666,1.0002757089506644,0.034061731645427404,958.7605626044066,494.94207971272516,1453.7026423171317,15.999071572043382,15.999071572043382,19.998839465054232,3.9995357994901046,6.366593190220582,0.9999980681234633,0.0004508759993768763,3.575699884095229e-05,0.0003690939993248321,4.259300112607889e-05,4096.0
40.0,0.08,0.0005194400000618771,1.0005537052298188,0.03836682468188313,959.0270375232777,495.79084710425184,1454.8178846275296,15.998763770402002,15.998763770402002,19.998454713002516,3.99938190908012,6.357388961128718,0.9999980767336494,0.00042135900002904236,3.829200068139471e-05,0.0003394800005480647,4.004400034318678e-05,4096.0
50.0,0.1,0.0005319740012055263,1.0009240224674076,0.03764544736191162,959.3819824618738,497.78439433624214,1457.1663767981158,15.99845597276841,15.99845597276841,19.998069965960532,3.999228023634519,6.347647818649511,0.9999980752908947,0.000433300003351178,3.638099951785989e-05,0.00035084300179732963,4.205799996270798e-05,4096.0
60.0,0.12,0.0005105320014990866,1.0014886495270632,0.04216951491076712,959.9231927863323,498.2079499795401,1458.1311427658725,15.998149179972764,15.998149179972764,19.997686474965978,3.9990746435103626,6.3373697550857315,0.9999980843390298,0.00041431999852648005,3.536300209816545e-05,0.00033536199771333486,4.021199856651947e-05,4096.0
70.0,0.14,0.0005453379999380559,1.0021601175097508,0.04189926651936995,960.5667913435257,497.5846352853403,1458.151426628866,15.997842579863537,15.997842579863537,19.997303224829448,3.9989213626577316,6.326558181922877,0.999998083798533,0.0004464150006242562,3.7294001231202856e-05,0.00035948499862570316,4.558899672701955e-05,4096.0
80.0,0.16,0.0004922029984300025,1.0027238749770948,0.04947393465276702,961.1071799254206,496.66056434201016,1457.7677442674308,15.997538169862322,15.997538169862322,19.99692271232793,3.9987691796281553,6.315213493850348,0.9999980989478693,0.00039752700104145333,3.3933996746782213e-05,0.00032321100297849625,3.700700108311139e-05,4096.0
90.0,0.18,0.0005917689995840192,1.0032441015340794,0.051821620406899055,961.6058242146321,497.73887082824086,1459.344695042873,15.99723444661327,15.99723444661327,19.996543058266607,3.9986173428110963,6.303331083741137,0.9999981036432408,0.00048599599904264323,3.385699892533012e-05,0.00039896400267025456,4.950099901179783e-05,4096.0
100.0,0.2,0.0007000550031079911,1.0038703859887474,0.053168280924579085,962.2061207707613,496.2341165006247,1458.440237271386,15.996931302327853,15.996931302327853,19.99616412790984,3.998465798303074,6.290910445718854,0.9999981063365618,0.0005517120007425547,5.468900053529069e-05,0.0004181830008747056,6.16570032434538e-05,4096.0
110.0,0.22,0.0005344960009097122,1.004422362610819,0.05675796000336703,962.7352021829273,496.5951671975814,1459.3303693805087,15.996629045853636,15.996629045853636,19.995786307317065,3.998314700478878,6.277959488725812,0.99999811351592,0.0004363859989098273,3.468300201348029e-05,0.0003567080020729918,4.157600051257759e-05,4096.0
120.0,0.24,0.0005250079993857071,1.0047455668838305,0.06449826555411513,963.0450221268833,497.7904427253051,1460.8354648521884,15.996328042606986,15.996328042606986,19.995410053258748,3.998164231979604,6.2644812964339565,0.9999981289965311,0.00042541700167930685,3.86950014217291e-05,0.00034048599991365336,4.248699769959785e-05,4096.0
130.0,0.26,0.0004993900001863949,1.0047923261514498,0.068848458311045,963.0898574757217,497.8373859310651,1460.9272434067868,15.996029222317059,15.996029222317059,19.995036527896342,3.998014857519083,6.250483090951924,0.9999981376969166,0.00040258900116896257,3.480200030026026e-05,0.00032684200050425716,3.752100019482896e-05,4096.0
140.0,0.28,0.0005468189992825501,1.0048026204091045,0.07209062165527229,963.0997369750629,499.04766611781065,1462.1474030928734,15.995732063812959,15.995732063812959,19.994665079766218,3.997866316520218,6.235971140359393,0.9999981441812433,0.000433758003055118,5.340999996406026e-05,0.0003363639989402145,4.015800004708581e-05,4096.0
150.0,0.3,0.0006185729980643373,1.0051096719217611,0.07635015681743493,963.3940611720514,496.8566305381078,1460.2506917101591,15.995436308467319,15.995436308467319,19.994295385584177,3.9977184796599157,6.220956657351154,0.9999981527003137,0.000499541998578934,4.904600064037368e-05,0.00039502299841842614,5.1036000513704494e-05,4096.0
160.0,0.32,0.0005593440000666305,1.0052795810425792,0.08131080379070094,963.5569375821594,498.1222658866723,1461.6792034688317,15.995141876196948,15.995141876196948,19.993927345246213,3.9975713068698315,6.205444677161584,0.9999981626216076,0.0004559030021482613,3.5730001400224864e-05,0.0003682179994939361,4.864699803874828e-05,4096.0
170.0,0.34,0.0005683720009983517,1.005490315085976,0.08234607500485724,963.7589294115118,495.09766886472374,1458.8565982762354,15.99484812773046,15.99484812773046,19.993560159663097,3.997424478580666,6.189438874648852,0.99999816469215,0.0004623339991667308,3.97000003431458e-05,0.0003761039988603443,4.2806997953448445e-05,4096.0
180.0,0.36,0.0005173379977350123,1.0059071999625384,0.08455420543623406,964.1585206149449,492.5131195532498,1456.6716401681947,15.994554670662867,15.994554670662867,19.993193338328606,3.9972777986378643,6.172936798058707,0.9999981691084109,0.0004194060020381585,3.6753001040779054e-05,0.0003394720006326679,3.98680022044573e-05,4096.0
190.0,0.38,0.0005381909977586474,1.0062485102715804,0.08480487622751358,964.4856663153007,491.8319281316469,1456.3175944469476,15.994261900918405,15.994261900918405,19.99282737614803,3.9971314649245313,6.155933410123941,0.9999981696097524,0.0004359990016382653,3.989799733972177e-05,0.0003507040019030683,4.143600017414428e-05,4096.0
200.0,0.4,0.0005570490029640496,1.006823523297858,0.08490172692443435,965.0368146572089,488.03999080132917,1453.076805458538,15.99396920494334,15.99396920494334,19.9924615061792,3.9969851707605613,6.138432932817997,0.9999981698034538,0.0004539319998002611,3.849700078717433e-05,0.0003667999990284443,4.4855998567072675e-05,4096.0
210.0,0.42,0.0005889849999221042,1.0076734866477588,0.08622242410566823,965.8515066484056,485.321581357525,1451.1730880059306,15.993676955611212,15.993676955611212,19.99209619451404,3.9968391025070176,6.120442052430721,0.9999981724448482,0.0004750480002257973,4.129200169700198e-05,0.000381331003154628,4.8761998186819255e-05,4096.0
220.0,0.44,0.0005894750029256102,1.0086336088957133,0.08759687225893281,966.771785774479,482.1477784065843,1448.9195641810634,15.993384969924096,15.993384969924096,19.991731212405153,3.9966931686905305,6.101962490842553,0.9999981751937446,0.00046530300096492283,3.7016001442680135e-05,0.00037493299896596,4.927400004817173e-05,4096.0
230.0,0.46,0.0008141959988279268,1.0097646898852968,0.08843785909754466,967.8559262021256,481.4404593487059,1449.2963855508315,15.993093301240329,15.993093301240329,19.991366626550445,3.9965473959715356,6.082995185810869,0.9999981768757182,0.0006427219996112399,6.70750014251098e-05,0.0004852560014114715,6.990900146774948e-05,4096.0
240.0,0.48,0.0005963679977867287,1.0109802432802182,0.08875851662369257,969.0210311257862,479.36986375242645,1448.3908948782127,15.992801871062992,15.992801871062992,19.991002338828768,3.996401745110562,6.063539986510735,0.9999981775170332,0.00048037600208772346,4.2670999391702935e-05,0.00038430900167440996,4.9684000259730965e-05,4096.0
250.0,0.5,0.0005726999988837633,1.0121012841769583,0.09221934401560417,970.095558338092,477.28258508000357,1447.3781434180955,15.99251102426742,15.99251102426742,19.990638780334304,3.9962563884580464,6.0435961517084955,0.999998184438688,0.00046604700037278235,3.796500095631927e-05,0.00038032399970688857,4.42060008936096e-05,4096.0
260.0,0.52,0.0005541989994526375,1.013151504475892,0.09549274843341322,971.1022035546683,477.7994910677359,1448.9016946224042,15.992221073798543,15.992221073798543,19.9902763422482,3.9961114823944723,6.023163262142466,0.9999981909854969,0.00044980100210523233,3.665099939098582e-05,0.00036203200215823017,4.7687000915175304e-05,4096.0
270.0,0.54,0.0006925939997017849,1.0142796232028346,0.09603210555873898,972.1835035396849,475.30405689550264,1447.4875604351876,15.991931890196362,15.991931890196362,19.989914862745472,3.9959669621981155,6.002241809682868,0.9999981920642111,0.0005740950000472367,0.0001253669979632832,0.00038720399970770814,5.7044002460315824e-05,4096.0
280.0,0.56,0.0005374850006774068,1.015448224468561,0.09911530464911784,973.303615806311,468.7485242923936,1442.0521400987045,15.991643396002601,15.991643396002601,19.989554245003276,3.9958227891392752,5.980827402181261,0.9999981982306093,0.00043761599954450503,3.4702999982982874e-05,0.0003562179990694858,4.34219982707873e-05,4096.0
290.0,0.58,0.0004958529971190728,1.0166485890854866,0.10092512192794006,974.4541681999369,465.2519704236793,1439.7061386236162,15.99135563870548,15.99135563870548,19.98919454838188,3.995678986930587,5.958910269735654,0.9999982018502439,0.00040082000123220496,3.455399928498082e-05,0.0003251960006309673,3.764599750866182e-05,4096.0
300.0,0.6,0.0005642239993903786,1.0177517396077158,0.10177097534590726,975.5115374734435,458.93306164343096,1434.4445991168745,15.991068343049088,15.991068343049088,19.988835428811385,3.9955354180010425,5.936484720664559,0.9999982035419507,0.00046442799794021994,3.452199962339364e-05,0.00038200500057428144,4.454000008990988e-05,4096.0
