grid_size,mean_step_time,pressure_variance
16.0,0.0007827322365154678,0.0009251360201736461
24.0,0.0014944671504484284,0.000476942272137534
32.0,0.003882966161468811,0.0003250028332075256
48.0,0.01652545294621055,0.0003377832351499098
64.0,0.03633475505369959,0.00023060607985873156
