step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,3.9999862785636484,6.3902476488442534,0.14240949253923066,0.999529200874716
10.0,0.02,3.999862699272994,6.384418425550127,0.1428433730469189,0.9995373965328708
20.0,0.04,3.9997252910544043,6.379362337080252,0.14207869220052974,0.9998611161859849
30.0,0.06,3.999587794415258,6.375793457412374,0.14068729008571448,1.00135060362804
40.0,0.08,3.9994504698392386,6.3737127149877,0.1436170922371061,1.0013303885182334
50.0,0.1,3.9993131114439806,6.373125229895617,0.1436185161253605,1.0018202119935176
60.0,0.12,3.999175756092617,6.374035590991715,0.13970331326829646,1.0029037849356492
70.0,0.14,3.9990384700376067,6.376429590263477,0.14175528307020588,1.0043760755208857
80.0,0.16,3.9989012532303394,6.380318113104332,0.1407434299189942,1.0060504657611808
90.0,0.18,3.9987641264891693,6.38569759549893,0.14180990139384256,1.007860578095023
100.0,0.2,3.9986269576501603,6.392548339607876,0.1448764758366936,1.0098344264266657
110.0,0.22,3.9984899439960553,6.400865201448148,0.1422120631040063,1.01195179811479
120.0,0.24,3.9983528451945936,6.410670229164427,0.14486773340942438,1.014192609883547
130.0,0.26,3.998215913895665,6.421961569297732,0.14589521524767457,1.016471037876884
140.0,0.28,3.9980790337797387,6.434778298849263,0.1437297912685445,1.0191025461165375
150.0,0.3,3.997942235857095,6.449158288432232,0.14692156561691883,1.0220395299622915
160.0,0.32,3.99780549632114,6.465173070800024,0.1438779370616947,1.0248149393316301
170.0,0.34,3.9976689871326414,6.482841087006134,0.14681051822780783,1.0265658816459649
180.0,0.36,3.997532372661903,6.502091046881902,0.145676626473005,1.0316560421031786
190.0,0.38,3.997396083441181,6.5222076035721885,0.14710512233108508,1.0320985221834833
200.0,0.4,3.997259685018525,6.54345509836017,0.14677328696181874,1.0337945171074272
210.0,0.42,3.9971232738148514,6.566153572793164,0.14812009788191285,1.0379232934168232
220.0,0.44,3.996987093220748,6.5902787123378825,0.14865336824068898,1.0440271409591462
230.0,0.46,3.9968512774433824,6.615809554485389,0.15013134974719325,1.048794279037762
240.0,0.48,3.9967154193136465,6.642730522999253,0.15165298380856312,1.0500957633935648
250.0,0.5,3.996579561227401,6.67103566736496,0.1524194600686807,1.0552988370852685
260.0,0.52,3.9964440050478385,6.700708831681075,0.15248902623936245,1.0598357218332597
270.0,0.54,3.9963084646840583,6.731734767777226,0.15114421503968553,1.060005104524522
280.0,0.56,3.996172961285627,6.764106143126501,0.15086392876704466,1.0661998448130368
290.0,0.58,3.996038597150636,6.797804713928906,0.16304121834783478,1.1536257012598696
300.0,0.6,3.995904963486341,6.832720525708987,0.16401810486463086,1.1451987141870321
