step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,3.9999862810707736,6.390247306463069,0.14256618815879585,0.9995042763760847
10.0,0.02,3.999862776879505,6.384415270411429,0.1428462427208271,0.9995842574793383
20.0,0.04,3.999725324514365,6.379342854847756,0.13885161022136316,0.9998906637804711
30.0,0.06,3.9995879366856295,6.375749218416115,0.14012255053449224,1.0013478203005508
40.0,0.08,3.999450668118039,6.3736365961591845,0.14005281170555933,1.0011055976046626
50.0,0.1,3.9993133770459197,6.37299727529596,0.14268595777640372,1.0015083305343682
60.0,0.12,3.9991760201622784,6.373855997159909,0.1440252380568913,1.0028759335113722
70.0,0.14,3.99903885051743,6.376199452745923,0.14336336926659657,1.0041884799511873
80.0,0.16,3.9989016553582397,6.380040241768485,0.14195884301338269,1.0059245129662837
90.0,0.18,3.9987644984295336,6.385356359572803,0.14146971109673245,1.0078461352109782
100.0,0.2,3.9986274379547306,6.392160232166525,0.14172274857823816,1.0099541424290754
110.0,0.22,3.9984903081236745,6.400463715014741,0.14058275211504898,1.0121693281677853
120.0,0.24,3.998353254794267,6.410236013302591,0.14296652629151066,1.014483981802155
