system,n_particles,solver,mean_step_time,pressure_variance
N320,320.0,pppm,0.0005178929999572805,0.00033884133855735494
N320,320.0,rbsog,0.011384473920597452,2.691123643314338e-05
N640,640.0,pppm,0.0006535301110979783,0.0008234024739243584
N640,640.0,rbsog,0.02153803744465496,9.224625388427989e-05
N960,960.0,pppm,0.000714552888778613,5.141631858487012e-05
N960,960.0,rbsog,0.03405981846007639,0.011732771527563265
N1280,1280.0,pppm,0.0007739156983930909,1.2844320867724134e-05
N1280,1280.0,rbsog,0.048771076079598664,6.663118876476056e-05
