batch_size,mean_step_time_s,speedup_vs_pppm,pressure_variance,variance_ratio_vs_pppm,is_pareto,is_recommended,utopia_score
50,0.01435772,0.053328,8.12634452e-04,0.93836319,1,0,0.57735027
100,0.02963562,0.025836,4.89810718e-04,0.56559299,1,1,0.21417672
200,0.08633536,0.008869,3.85974206e-04,0.44569116,1,0,0.61730916
400,0.10974580,0.006977,3.55517031e-04,0.41052172,1,0,0.81649658
