step,time,step_time,temperature,pressure,kinetic,potential,total_energy,box_x,box_y,box_z,area_per_lipid,thickness_proxy,barostat_scale
1.0,0.002,0.005345538000256056,0.9994900244547126,0.14297551600701824,958.007904286479,421.55526905983646,1379.5631733463154,15.999972575216512,15.999972575216512,19.99996571902064,3.999986287620008,6.390247522236928,0.999998285951032
20.0,0.04,0.006001309000566835,0.9999125906567891,0.14388529219725144,958.4129360904599,428.977121036075,1387.3900571265349,15.99945029884207,15.99945029884207,19.999312873552594,3.999725154142463,6.379376929672868,0.9999982877705844
40.0,0.08,0.0052245719998609275,1.000932233158681,0.14008947378372552,959.3902455149993,382.92767610038777,1342.3179216153871,15.998900961469033,15.998900961469033,19.998626201836306,3.9994504996077307,6.37376570662386,0.9999982801789475
60.0,0.12,0.006990906000282848,1.0029199522671335,0.1438467414922825,961.2954821745543,433.37906369122794,1394.6745458657822,15.99835156477147,15.99835156477147,19.99793945596436,3.9991758248441522,6.374142608691162,0.999998287693483
80.0,0.16,0.005581497996899998,1.0061153501832556,0.14044856105822723,964.3582474800235,374.2059825450612,1338.5642300250847,15.997802013211603,15.997802013211603,19.997252516514514,3.9989010820924564,6.38040368369394,0.9999982808971222
100.0,0.2,0.006228823000128614,1.010171877063589,0.14263285029299738,968.2464235862035,392.7014172973525,1360.947840883556,15.997253109627662,15.997253109627662,19.996566387034584,3.9986266727108113,6.392615648421916,0.9999982852657006
120.0,0.24,0.011859425001603086,1.0143265160153847,0.14403576164070672,972.2286368204196,396.2323260903253,1368.460962910745,15.996704554840656,15.996704554840656,19.99588069355082,3.9983524471071843,6.4107643815687405,0.9999982880715232
140.0,0.28,0.0063128359979600646,1.019263442775264,0.14267974669504485,976.9606596188332,400.6583912430535,1377.6190508618868,15.996156668456925,15.996156668456925,19.995195835571163,3.998078565028421,6.434879881498626,0.9999982853594934
160.0,0.32,0.005439230997581035,1.0248313177423574,0.146329563359669,982.29746381424,427.35050306905714,1409.6479668832972,15.995609626507495,15.995609626507495,19.994512033134374,3.9978051144315505,6.465248938670346,0.9999982926591268
180.0,0.36,0.005940447001194116,1.0308563711741763,0.14819051228257962,988.0724651638434,444.9248966920685,1432.997361855912,15.995062996136538,15.995062996136538,19.993828745170664,3.9975318789121306,6.5020839542573174,0.9999982963810246
200.0,0.4,0.006959842998185195,1.0345176923121566,0.14464922617731127,991.581815471404,394.71946108038617,1386.3012765517901,15.994517268000498,15.994517268000498,19.993146585000606,3.997259103693221,6.543813300645885,0.9999982892984524
