step,time,area_per_lipid,thickness_proxy,pressure,temperature
1.0,0.002,3.999986193740183,6.398939571930218,0.13710801683556062,0.9753414586528267
20.0,0.04,3.9997242042851626,6.38832084219028,0.13775041966816196,0.9795257174269651
40.0,0.08,3.99944855892868,6.383174344649453,0.1393589827575366,0.9848329042181077
60.0,0.12,3.999173287956488,6.384212667506899,0.13978202292975567,0.9906883799950322
80.0,0.16,3.9988983171938783,6.391433574473396,0.1404852115894988,0.9972232221029559
100.0,0.2,3.9986237379499627,6.4048031274975035,0.14219046612235922,1.0057492210440528
120.0,0.24,3.998349651041578,6.424293978044567,0.14455640730241456,1.0116791400690779
140.0,0.28,3.998075697911033,6.449830081120933,0.1438081211844993,1.0142506058213625
160.0,0.32,3.9978020145183484,6.48140718335452,0.14337839225101728,1.020172557212614
180.0,0.36,3.9975286566870727,6.519036276410808,0.14653770767257646,1.0279970228967743
200.0,0.4,3.9972558589394978,6.562673644833496,0.14713012930878638,1.0375177749945061
